iter	Recall	Logloss
0	0.7498149519	0.6893710742
1	0.8186528497	0.6859232549
2	0.8341968912	0.6820880647
3	0.85196151	0.6784685575
4	0.8460399704	0.6745531504
5	0.843819393	0.670886885
6	0.8460399704	0.6672951069
7	0.8386380459	0.6636495926
8	0.8401184308	0.6606738679
9	0.8393782383	0.6575299818
10	0.8393782383	0.6540797606
11	0.8415988157	0.6512110803
12	0.8408586232	0.6477263233
13	0.8393782383	0.64468944
14	0.8423390081	0.6416939397
15	0.8445595855	0.6386148552
16	0.8423390081	0.6355183899
17	0.8475203553	0.6336054062
18	0.8475203553	0.6309049337
19	0.8475203553	0.6285157024
20	0.8475203553	0.6261884811
21	0.8497409326	0.6236502968
22	0.8497409326	0.6213289033
23	0.8497409326	0.6189096883
24	0.8512213175	0.616764525
25	0.85196151	0.614566113
26	0.8497409326	0.612357403
27	0.8512213175	0.6101231017
28	0.8541820873	0.6079574937
29	0.8527017024	0.6055036855
30	0.8556624722	0.6035311662
31	0.8549222798	0.6015396304
32	0.8541820873	0.5997895543
33	0.8512213175	0.5976282414
34	0.8504811251	0.595955583
35	0.8512213175	0.5942958782
36	0.8527017024	0.5923543439
37	0.8504811251	0.5904281759
38	0.8497409326	0.5883607944
39	0.8504811251	0.5868584621
40	0.8497409326	0.5850423179
41	0.8504811251	0.5835208669
42	0.8527017024	0.581880882
43	0.8512213175	0.5802676076
44	0.8527017024	0.5787985944
45	0.8527017024	0.577468187
46	0.8534418949	0.5759986608
47	0.85196151	0.5744756858
48	0.8504811251	0.5730017994
49	0.8475203553	0.5713100218
50	0.8490007402	0.5698994989
51	0.8475203553	0.5684951706
52	0.8460399704	0.566845313
53	0.8475203553	0.5657173502
54	0.8467801628	0.5643990333
55	0.8467801628	0.5631947741
56	0.8490007402	0.5619400875
57	0.8482605477	0.5606218755
58	0.8490007402	0.5593898031
59	0.8490007402	0.5583246583
60	0.8490007402	0.5573122614
61	0.8490007402	0.5559862811
62	0.8475203553	0.5547471004
63	0.8467801628	0.5536456762
64	0.8467801628	0.5526751716
65	0.8460399704	0.5516931788
66	0.8467801628	0.5506772046
67	0.8452997779	0.5495549529
68	0.8445595855	0.548676114
69	0.8445595855	0.5476682959
70	0.8445595855	0.5467240405
71	0.8445595855	0.5457392943
72	0.843819393	0.5447490833
73	0.843819393	0.5439359292
74	0.8445595855	0.5429031598
75	0.8445595855	0.5420847381
76	0.8445595855	0.5411790852
77	0.8445595855	0.5405789355
78	0.8445595855	0.5396424071
79	0.8415988157	0.5388230732
80	0.8415988157	0.5378849004
81	0.8423390081	0.5369054827
82	0.8408586232	0.5359788167
83	0.8408586232	0.5350540142
84	0.8408586232	0.5342299968
85	0.8415988157	0.5334400911
86	0.8415988157	0.5327048115
87	0.8408586232	0.5320002702
88	0.8408586232	0.5312125661
89	0.8401184308	0.5305853851
90	0.8393782383	0.5299605618
91	0.8393782383	0.5293440095
92	0.8393782383	0.5288242027
93	0.8401184308	0.5281871978
94	0.8393782383	0.5273674905
95	0.8393782383	0.526758753
96	0.8393782383	0.5259760983
97	0.8401184308	0.5252351734
98	0.8401184308	0.524553561
99	0.8401184308	0.5239929581
100	0.8386380459	0.5231770832
101	0.8393782383	0.522492834
102	0.8386380459	0.5217983052
103	0.8378978534	0.5211882237
104	0.8378978534	0.5206499815
105	0.8393782383	0.5201220405
106	0.8386380459	0.5195344988
107	0.8386380459	0.5190427314
108	0.8378978534	0.5184589428
109	0.8386380459	0.5181258814
110	0.8378978534	0.5175799621
111	0.8386380459	0.517338843
112	0.8386380459	0.5167725959
113	0.8378978534	0.5163992515
114	0.8378978534	0.5158790013
115	0.8378978534	0.5153682587
116	0.8378978534	0.5149129242
117	0.8378978534	0.5144219624
118	0.8378978534	0.5139159193
119	0.837157661	0.5133429756
120	0.837157661	0.5128344582
121	0.837157661	0.5122912471
122	0.8364174685	0.5119488144
123	0.8364174685	0.5115733126
124	0.8364174685	0.5112373064
125	0.8364174685	0.5108192188
126	0.837157661	0.5103989105
127	0.8378978534	0.5100181432
128	0.8378978534	0.5096463674
129	0.8378978534	0.5092501648
130	0.8378978534	0.5087996318
131	0.8378978534	0.5083849062
132	0.8378978534	0.5080256634
133	0.8378978534	0.5076779842
134	0.8378978534	0.5072798898
135	0.8378978534	0.5069390207
136	0.8378978534	0.5065209303
137	0.8378978534	0.506147558
138	0.8378978534	0.5058693902
139	0.837157661	0.5054952304
140	0.837157661	0.50512017
141	0.837157661	0.504695406
142	0.837157661	0.5044109795
143	0.8364174685	0.5040280318
144	0.8356772761	0.5036689094
145	0.8356772761	0.50338499
146	0.8356772761	0.5030654376
147	0.8349370836	0.5027405853
148	0.8349370836	0.5024791839
149	0.8356772761	0.5022049011
150	0.8356772761	0.5019415115
151	0.8349370836	0.5015942296
152	0.8356772761	0.5014390674
153	0.8356772761	0.5011272345
154	0.8356772761	0.5008690945
155	0.8356772761	0.5005578749
156	0.8349370836	0.5002206237
157	0.8349370836	0.4999873019
158	0.8349370836	0.4997414136
159	0.8349370836	0.4994606419
160	0.8349370836	0.499212759
161	0.8349370836	0.4989473514
162	0.8349370836	0.4986086144
163	0.8334566987	0.4983943641
164	0.8334566987	0.4981233681
165	0.8334566987	0.4978683377
166	0.8327165063	0.4976785839
167	0.8319763138	0.4974546723
168	0.8312361214	0.4971599638
169	0.8312361214	0.4968973838
170	0.8312361214	0.4966455268
171	0.8312361214	0.4963490067
172	0.8312361214	0.4961020299
173	0.8312361214	0.4958430083
174	0.8319763138	0.4955817465
175	0.8312361214	0.4952998695
176	0.8304959289	0.4951205892
177	0.8312361214	0.4948255311
178	0.8312361214	0.49457968
179	0.8297557365	0.4943548008
180	0.8312361214	0.4941784571
181	0.8312361214	0.493917407
182	0.8312361214	0.4936604018
183	0.8312361214	0.4934853949
184	0.8312361214	0.4933038338
185	0.8312361214	0.4931279198
186	0.8304959289	0.4929174919
187	0.8312361214	0.4926976247
188	0.8312361214	0.4925533588
189	0.8312361214	0.4924041487
190	0.8304959289	0.49221239
191	0.8304959289	0.4920135915
192	0.8304959289	0.4918413544
193	0.8304959289	0.4916198041
194	0.8304959289	0.4914955443
195	0.8297557365	0.4913268339
196	0.8304959289	0.491150161
197	0.8297557365	0.4909430929
198	0.8304959289	0.4907547079
199	0.8304959289	0.4905624823
200	0.8304959289	0.4904171823
201	0.829015544	0.4902124138
202	0.829015544	0.4900468752
203	0.829015544	0.4898126364
204	0.8282753516	0.4896686473
205	0.829015544	0.4895070138
206	0.829015544	0.4893188762
207	0.829015544	0.4891616619
208	0.829015544	0.4890462353
209	0.8282753516	0.4889411528
210	0.8282753516	0.488742942
211	0.8282753516	0.4885483583
212	0.8282753516	0.4883823022
213	0.8282753516	0.4882377479
214	0.8282753516	0.488068144
215	0.8275351591	0.4878593264
216	0.8275351591	0.4877145012
217	0.8275351591	0.4875599497
218	0.8275351591	0.4873915333
219	0.8275351591	0.4872253905
220	0.8275351591	0.4870739652
221	0.8275351591	0.4869374254
222	0.8267949667	0.486787012
223	0.8267949667	0.486599984
224	0.8275351591	0.4864777139
225	0.8275351591	0.4863258719
226	0.8275351591	0.4862186752
227	0.8275351591	0.4861146405
228	0.8267949667	0.4860103897
229	0.8267949667	0.4858854276
230	0.8267949667	0.4857661964
231	0.8267949667	0.4856435011
232	0.8267949667	0.4855163325
233	0.8267949667	0.4853941795
234	0.8267949667	0.4853179274
235	0.8267949667	0.4852097691
236	0.8267949667	0.4851066943
237	0.8267949667	0.4850072114
238	0.8275351591	0.4848736796
239	0.8267949667	0.4846837858
240	0.8275351591	0.4845816159
241	0.8275351591	0.4844459173
242	0.8275351591	0.4843232075
243	0.8275351591	0.4842200243
244	0.8275351591	0.4841168631
245	0.8275351591	0.4839710225
246	0.829015544	0.4838892192
247	0.8282753516	0.4837887067
248	0.8282753516	0.4836610998
249	0.8275351591	0.483509505
250	0.8282753516	0.4833773301
251	0.8282753516	0.4832882151
252	0.8282753516	0.4831764573
253	0.8275351591	0.4830675901
254	0.8267949667	0.4829341539
255	0.8267949667	0.4828446594
256	0.8267949667	0.4827597703
257	0.8267949667	0.4826194621
258	0.8267949667	0.4825284047
259	0.8260547742	0.4824150337
260	0.8267949667	0.4823453399
261	0.8260547742	0.482221187
262	0.8267949667	0.4821447981
263	0.8267949667	0.4820429681
264	0.8275351591	0.4819791645
