iter	Passed	Remaining
0	8	8433
1	14	6998
2	19	6391
3	24	6014
4	28	5633
5	34	5647
6	40	5681
7	45	5660
8	49	5494
9	53	5296
10	57	5184
11	63	5199
12	67	5151
13	71	5022
14	75	4946
15	79	4902
16	84	4863
17	87	4768
18	91	4721
19	95	4675
20	98	4610
21	103	4585
22	107	4562
23	111	4528
24	115	4499
25	118	4442
26	122	4426
27	126	4387
28	130	4360
29	134	4338
30	138	4320
31	142	4307
32	146	4280
33	149	4254
34	153	4224
35	157	4208
36	160	4188
37	164	4171
38	168	4152
39	172	4135
40	176	4123
41	179	4103
42	184	4104
43	188	4086
44	192	4075
45	196	4064
46	199	4053
47	204	4057
48	208	4048
49	212	4035
50	216	4031
51	220	4023
52	224	4008
53	228	3997
54	232	3988
55	236	3982
56	240	3977
57	245	3985
58	250	3987
59	255	3995
60	259	3995
61	263	3987
62	267	3976
63	271	3966
64	275	3962
65	282	4000
66	288	4021
67	293	4022
68	297	4015
69	304	4040
70	308	4034
71	312	4027
72	316	4015
73	319	3996
74	325	4015
75	329	4011
76	333	4000
77	336	3972
78	338	3944
79	340	3916
80	342	3887
81	344	3859
82	346	3832
83	349	3807
84	351	3786
85	354	3765
86	356	3738
87	358	3715
88	360	3691
89	362	3669
90	365	3646
91	367	3623
92	370	3610
93	373	3597
94	375	3576
95	378	3567
96	380	3546
97	383	3525
98	385	3512
99	388	3493
100	390	3474
101	394	3475
102	399	3482
103	404	3484
104	407	3470
105	411	3472
106	416	3473
107	420	3469
108	424	3472
109	428	3470
110	433	3469
111	436	3458
112	442	3472
113	447	3477
114	452	3478
115	455	3470
116	459	3467
117	462	3460
118	467	3458
119	471	3457
120	476	3464
121	481	3463
122	487	3474
123	494	3492
124	500	3500
125	504	3500
126	509	3503
127	516	3520
128	523	3536
129	529	3544
130	534	3547
131	539	3544
132	542	3535
133	545	3526
134	548	3515
135	552	3507
136	556	3507
137	559	3494
138	561	3478
139	563	3462
140	565	3447
141	567	3431
142	570	3416
143	572	3401
144	574	3385
145	576	3371
146	579	3360
147	583	3356
148	586	3352
149	590	3348
150	594	3341
151	596	3328
152	598	3313
153	600	3300
154	602	3286
155	605	3273
156	607	3262
157	609	3249
158	611	3236
159	613	3223
160	615	3209
161	617	3196
162	620	3184
163	622	3171
164	624	3159
165	626	3147
166	628	3134
167	630	3121
168	632	3110
169	634	3099
170	637	3089
171	639	3078
172	641	3067
173	643	3056
174	646	3046
175	648	3036
176	650	3024
177	652	3014
178	655	3004
179	657	2994
180	659	2985
181	662	2975
182	664	2967
183	667	2962
184	670	2955
185	674	2952
186	677	2943
187	679	2933
188	681	2923
189	683	2912
190	686	2906
191	689	2902
192	692	2896
193	696	2892
194	699	2886
195	701	2879
196	704	2873
197	707	2865
198	710	2858
199	713	2854
200	716	2849
201	719	2842
202	722	2835
203	725	2829
204	728	2824
205	730	2816
206	733	2809
207	736	2802
208	739	2797
209	742	2794
210	746	2789
211	749	2784
212	751	2776
213	754	2769
214	756	2763
215	759	2757
216	762	2749
217	766	2748
218	771	2750
219	775	2750
220	779	2749
221	783	2745
222	786	2741
223	789	2734
224	792	2730
225	795	2724
226	798	2720
227	801	2714
228	804	2709
229	808	2705
230	811	2700
231	813	2692
232	815	2686
233	818	2678
234	820	2670
235	823	2665
236	826	2659
237	828	2653
238	830	2645
239	834	2641
240	837	2637
241	840	2632
242	843	2626
243	845	2620
244	848	2616
245	852	2612
246	855	2607
247	858	2604
248	862	2601
249	868	2606
250	875	2611
251	879	2609
252	882	2606
253	885	2600
254	888	2594
255	890	2588
256	893	2582
257	896	2577
258	898	2571
259	901	2565
260	903	2558
261	906	2552
262	908	2546
263	910	2539
264	913	2534
265	916	2528
266	918	2520
267	921	2516
268	924	2511
269	926	2506
270	930	2501
271	934	2500
272	937	2497
273	940	2492
274	954	2516
275	958	2514
276	962	2511
277	969	2516
278	973	2515
279	978	2515
280	982	2514
281	986	2512
282	990	2510
283	995	2508
284	998	2505
285	1002	2503
286	1007	2502
287	1011	2500
288	1015	2498
289	1020	2499
290	1026	2500
291	1030	2498
292	1035	2498
293	1040	2497
294	1044	2496
295	1049	2495
296	1053	2493
297	1058	2493
298	1063	2493
299	1067	2491
300	1073	2491
301	1079	2494
302	1087	2500
303	1092	2501
304	1097	2500
305	1102	2499
306	1109	2504
307	1113	2500
308	1115	2495
309	1121	2496
310	1125	2493
311	1128	2488
312	1130	2481
313	1134	2478
314	1139	2476
315	1141	2471
316	1144	2465
317	1148	2462
318	1153	2463
319	1158	2461
320	1162	2459
321	1165	2454
322	1169	2450
323	1173	2447
324	1177	2446
325	1182	2445
326	1188	2445
327	1195	2448
328	1199	2445
329	1202	2442
330	1206	2438
331	1209	2433
332	1215	2434
333	1221	2436
334	1227	2436
335	1232	2434
336	1235	2429
337	1237	2423
338	1239	2417
339	1243	2413
340	1249	2413
341	1254	2413
342	1259	2412
343	1264	2411
344	1268	2408
345	1273	2407
346	1279	2407
347	1284	2405
348	1287	2400
349	1293	2402
350	1299	2402
351	1302	2398
352	1310	2401
353	1314	2399
354	1319	2397
355	1324	2396
356	1328	2393
357	1333	2391
358	1339	2392
359	1345	2391
360	1349	2388
361	1353	2384
362	1358	2383
363	1361	2379
364	1364	2374
365	1368	2369
366	1373	2368
367	1377	2365
368	1380	2361
369	1386	2360
370	1390	2356
371	1393	2352
372	1397	2349
373	1403	2349
374	1408	2347
375	1414	2347
376	1420	2346
377	1425	2345
378	1430	2344
379	1435	2342
380	1440	2340
381	1447	2341
382	1453	2341
383	1459	2341
384	1465	2340
385	1469	2337
386	1472	2332
387	1476	2329
388	1479	2324
389	1482	2318
390	1484	2312
391	1486	2306
392	1489	2299
393	1492	2296
394	1497	2293
395	1501	2289
396	1503	2283
397	1505	2277
398	1509	2272
399	1513	2269
400	1516	2265
401	1519	2259
402	1521	2253
403	1525	2251
404	1528	2245
405	1530	2239
406	1532	2233
407	1535	2227
408	1540	2226
409	1544	2222
410	1547	2218
411	1552	2215
412	1554	2209
413	1559	2207
414	1561	2201
415	1564	2195
416	1566	2189
417	1569	2185
418	1573	2182
419	1576	2177
420	1579	2171
421	1581	2166
422	1583	2160
423	1586	2154
424	1588	2149
425	1591	2144
426	1593	2138
427	1595	2132
428	1598	2127
429	1602	2124
430	1607	2122
431	1609	2116
432	1612	2110
433	1614	2105
434	1617	2100
435	1619	2095
436	1622	2089
437	1624	2084
438	1626	2078
439	1628	2073
440	1633	2071
441	1637	2067
442	1640	2062
443	1642	2056
444	1644	2051
445	1647	2046
446	1650	2041
447	1653	2037
448	1655	2031
449	1657	2026
450	1659	2020
451	1664	2017
452	1668	2014
453	1670	2009
454	1673	2003
455	1675	1998
456	1678	1994
457	1681	1990
458	1684	1985
459	1686	1979
460	1689	1974
461	1691	1969
462	1696	1967
463	1699	1963
464	1701	1957
465	1704	1952
466	1706	1947
467	1708	1942
468	1712	1938
469	1714	1933
470	1716	1928
471	1719	1923
472	1721	1917
473	1725	1915
474	1729	1911
475	1734	1909
476	1738	1905
477	1743	1903
478	1747	1901
479	1751	1897
480	1753	1891
481	1758	1889
482	1762	1886
483	1764	1881
484	1766	1876
485	1770	1872
486	1774	1869
487	1777	1864
488	1779	1859
489	1781	1854
490	1784	1849
491	1789	1847
492	1793	1844
493	1796	1839
494	1798	1834
495	1800	1829
496	1802	1824
497	1805	1820
498	1807	1814
499	1809	1809
500	1811	1804
501	1814	1799
502	1816	1794
503	1818	1789
504	1820	1784
505	1822	1779
506	1824	1774
507	1826	1769
508	1829	1764
509	1831	1759
510	1833	1754
511	1836	1749
512	1838	1745
513	1840	1740
514	1842	1735
515	1844	1730
516	1848	1727
517	1851	1723
518	1854	1718
519	1856	1713
520	1858	1708
521	1860	1704
522	1863	1699
523	1865	1694
524	1867	1689
525	1869	1684
526	1871	1680
527	1873	1675
528	1876	1670
529	1878	1665
530	1880	1661
531	1882	1656
532	1885	1651
533	1887	1647
534	1889	1642
535	1891	1637
536	1894	1633
537	1917	1646
538	1923	1644
539	1926	1641
540	1932	1639
541	1938	1638
542	1942	1635
543	1948	1633
544	1952	1630
545	1956	1626
546	1960	1623
547	1965	1620
548	1968	1617
549	1971	1612
550	1973	1608
551	1978	1605
552	1981	1601
553	1984	1597
554	1986	1592
555	1989	1588
556	1993	1585
557	1997	1582
558	2001	1578
559	2003	1574
